/media/My Passport/Data/globo/20090612_incidente_net//riolf334_CPU.rrd.xml-scale360.data_1,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_CPU.rrd.xml-scale360.data_2,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_CPU.rrd.xml-scale360.data_3,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_CPU.rrd.xml-scale360.data_4,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_Memory.rrd.xml-scale360.data_1,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_Memory.rrd.xml-scale360.data_2,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_Memory.rrd.xml-scale360.data_3,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_Memory.rrd.xml-scale360.data_4,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_Memory.rrd.xml-scale360.data_5,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_Memory.rrd.xml-scale360.data_6,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_Memory.rrd.xml-scale360.data_7,/media/My Passport/Data/globo/20090612_incidente_net//riolf334_Memory.rrd.xml-scale360.data_8,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_CPU.rrd.xml-scale360.data_1,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_CPU.rrd.xml-scale360.data_2,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_CPU.rrd.xml-scale360.data_3,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_CPU.rrd.xml-scale360.data_4,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_Memory.rrd.xml-scale360.data_1,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_Memory.rrd.xml-scale360.data_2,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_Memory.rrd.xml-scale360.data_3,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_Memory.rrd.xml-scale360.data_4,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_Memory.rrd.xml-scale360.data_5,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_Memory.rrd.xml-scale360.data_6,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_Memory.rrd.xml-scale360.data_7,/media/My Passport/Data/globo/20090612_incidente_net//riolf355_Memory.rrd.xml-scale360.data_8
0.626794802,0,0.917432623,797.7523901,8193108,8192956,16436808,320095.8223,8513051.822,0,634180.5374,4207419.609,94.65494654,0,9.949188186,693.6070684,8193108,8192968,32959992,180353.3427,8373321.343,0,539369.5486,6286510.468
0.623835925,0,0.919852486,797.7449982,8193108,8192956,16436808,316226.9735,8509182.974,0,634269.7402,4209099.338,109.5690401,0,11.21525219,677.4063006,8193108,8192968,32959992,174933.396,8367901.396,0,539686.9114,6290984.162
0.575169432,0,0.878376696,797.8621447,8193108,8192956,16436808,314706.452,8507662.452,0,634357.2566,4210831.142,114.7051582,0,11.85318102,671.5724308,8193108,8192968,32959992,169753.2638,8362721.264,0,540016.6665,6296238.626
0.591536308,0,0.893012902,797.8000722,8193108,8192956,16436808,305242.1116,8498198.112,0,634453.0588,4212739.561,122.7591359,0,12.32369515,662.9798313,8193108,8192968,32959992,163239.586,8356207.586,0,540393.4973,6302254.246
0.722058008,0,1.043454926,797.5098508,8193108,8192956,16436808,304934.5691,8497890.569,0,634529.8161,4214333.426,136.4414485,0,13.58738757,647.999108,8193108,8192968,32959992,163449.0311,8356417.031,0,540287.964,6300968.374
0.752694216,0,1.109309394,797.41847,8193108,8192956,16436808,298896.3039,8491852.304,0,634637.0006,4216738.435,134.2256355,0,13.40219338,650.5237685,8193108,8192968,32959992,165863.0539,8358831.054,0,540182.0824,6299163.755
0.783242833,0,1.183481902,797.2971298,8193108,8192956,16436808,294756.0958,8487712.096,0,634754.7735,4218592.781,145.9091694,0,14.42982668,637.6091076,8193108,8192968,32959992,163148.0135,8356116.014,0,540432.8931,6301858.194
0.823194416,0,1.172210077,797.0654774,8193108,8192956,16436808,287687.9604,8480643.96,0,634893.8484,4221367.504,152.5724494,0,14.67101851,630.6050108,8193108,8192968,32959992,164741.0483,8357709.048,0,540095.0303,6297070.211
0.860727362,0,1.179441337,796.9757381,8193108,8192956,16436808,284302.6768,8477258.677,0,634968.1992,4223330.263,146.5166552,0,14.48242181,636.8278939,8193108,8192968,32959992,163672.0683,8356640.068,0,540129.2777,6299164.67
1.001978811,0,1.348553065,796.8664626,8193108,8192956,16436808,288727.4117,8481683.412,0,635065.5631,4218184.398,157.5720635,0,15.51694719,624.7480545,8193108,8192968,32959992,162905.3809,8355873.381,0,540054.364,6299084.929
